symbol,price,change,low,high,ema20,ema50,ema100,ema200,score
CCL,1201.1,0.81,1183.6,1209.6,1188.3,1153.6,1111.83,1052.01,34.35
CREDITACC,1498.0,1.32,1468.2,1510.0,1484.46,1419.65,1367.42,1336.01,33.43
ADANIPORTS,1844.0,0.36,1828.0,1853.7,1824.66,1783.06,1702.7,1611.02,33.2
ALKEM,5653.5,1.63,5564.0,5689.0,5567.74,5498.36,5481.9,5448.66,32.15
JSWINFRA,348.45,1.84,339.0,349.9,328.62,308.32,293.6,288.95,31.27
3MINDIA,35240.0,1.06,34710.0,35570.0,34675.52,33725.03,33368.12,32991.04,30.95
ANTHEM,791.55,1.87,777.0,807.25,765.51,760.81,743.66,729.39,30.26
LALPATHLAB,1693.3,0.35,1675.0,1723.2,1681.39,1628.77,1570.95,1533.24,29.77
MEDANTA,1331.4,1.1,1305.0,1340.0,1315.72,1268.42,1226.16,1217.84,29.32
MOTILALOFS,973.15,0.63,952.55,978.8,950.86,910.47,874.12,866.36,29.05
MANKIND,2565.8,3.28,2481.5,2590.6,2504.71,2438.36,2366.68,2351.45,28.43
